date,open,high,low,close,volume,SMA_20,RSI,MACD,MACD_signal,BB_high,BB_low,returns,volatility_forecast,daily_return,cumulative_return
02/01/20,71.54588227,72.59888387,71.29229631,72.53850555,135480400,,,,,,,,,,1
03/01/20,71.76565143,72.59404001,71.60866932,71.83327484,146322800,,,,,,,-0.009722157,,-0.009722157,0.990277843
06/01/20,70.95419548,72.44432844,70.70301958,72.40568542,118387200,,,,,,,0.007968599,,0.007968599,0.998168971
07/01/20,72.41532188,72.6713253,71.84535423,72.06513214,108872000,,,,,,,-0.004703405,,-0.004703405,0.993474177
08/01/20,71.76807129,73.52628729,71.76807129,73.22439575,132079200,,,,,,,0.016086332,,0.016086332,1.009455533
09/01/20,74.20254953,74.9729776,73.95138098,74.7797699,170108400,,,,,,,0.021241202,,0.021241202,1.030897581
10/01/20,75.0140277,75.51396196,74.44647,74.94881439,140644800,,,,,,,0.002260565,,0.002260565,1.033227991
13/01/20,75.26518125,76.57659623,75.14683476,76.55002594,121532000,,,,,,,0.021364068,,0.021364068,1.055301944
14/01/20,76.48726081,76.69737619,75.39320592,75.51637268,161954400,,,,,,,-0.013502977,,-0.013502977,1.041052226
15/01/20,75.31591552,76.19743749,74.76043057,75.19274139,121923600,,,,,,,-0.004285578,,-0.004285578,1.036590716
16/01/20,75.73615571,76.24575261,75.37388575,76.13465118,108829200,,,,,,,0.012526605,,0.012526605,1.049575678
17/01/20,76.38341859,76.97995681,76.07669931,76.97754669,137816400,,,,,,,0.011071115,,0.011071115,1.061195652
21/01/20,76.60560101,77.04756709,76.31819961,76.45586395,110843200,,,,,,,-0.006777077,,-0.006777077,1.054003848
22/01/20,76.94130053,77.28183515,76.6345813,76.72877502,101832400,,,,,,,0.003569524,,0.003569524,1.05776614
23/01/20,76.78189248,77.17797036,76.2336527,77.09827423,104472000,,,,,,,0.004815654,,0.004815654,1.062859975
24/01/20,77.34463503,78.08849276,76.68530106,76.87609863,146537600,,,,,,,-0.002881719,,-0.002881719,1.059797111
27/01/20,74.88359281,75.29657838,73.63255603,74.61551666,161940000,,,,,,,-0.029405524,,-0.029405524,1.028633222
28/01/20,75.49706227,76.89783652,75.39804093,76.72636414,162234000,,,,,,,0.028289658,,0.028289658,1.057732904
29/01/20,78.35899064,79.18013436,77.61754307,78.33242035,216229200,,,,,,,0.02093226,,0.02093226,1.079873644
30/01/20,77.41466663,78.2720358,76.98235581,78.21890259,126743200,,,,,,,-0.00144918,,-0.00144918,1.078308713
31/01/20,77.50884784,77.93149604,74.4561241,74.75077057,199588400,,,,,,,-0.044338797,,-0.044338797,1.030497802
03/02/20,73.49249229,75.71200004,72.99014788,74.54549408,173788400,,,,,,,-0.002746145,,-0.002746145,1.027667906
04/02/20,76.15155638,77.19731307,75.74581581,77.0065155,136616400,,,,,,,0.033013685,,0.033013685,1.06159501
05/02/20,78.13437975,78.43386125,77.03066957,77.63445282,118826800,,,,,,,0.00815434,,0.00815434,1.070251616
06/02/20,77.90493506,78.54494374,77.34704001,78.54252625,105425600,,,,,,,0.011696784,,0.011696784,1.082770118
07/02/20,78.04140356,78.29075229,76.98348701,77.47492218,117684000,,,,,,,-0.013592688,,-0.013592688,1.068052362
10/02/20,76.058727,77.84290314,75.97884171,77.84290314,109348800,,,,,,,0.004749678,,0.004749678,1.073125267
11/02/20,78.3391829,78.41180589,77.15537652,77.37325287,94323200,,,,,,,-0.006033309,,-0.006033309,1.066650771
12/02/20,77.82353527,79.21553243,77.82353527,79.21069336,113730400,,,,,,,0.023747748,,0.023747748,1.091981324
13/02/20,78.48201231,78.97344754,78.27866056,78.64662933,94747600,,,,,,,-0.007121059,,-0.007121059,1.084205261
14/02/20,78.61514926,78.91534148,78.15760973,78.66599274,80113600,,,,,,,0.000246208,,0.000246208,1.0844722
18/02/20,76.34437253,77.4071355,76.16280771,77.22557068,152531200,,,,,,,-0.018310607,,-0.018310607,1.064614856
