date,open,high,low,close,volume,SMA_20,RSI,MACD,MACD_signal,BB_high,BB_low,returns,volatility_forecast,daily_return,cumulative_return
01/01/20,679.0819357,683.152852,673.4900625,675.3241577,14004468,,,,,,,,,,1
02/01/20,676.3978392,689.3487293,676.3978392,686.821167,17710316,,,,,,,0.017024431,,0.017024431,1.017024431
03/01/20,685.7923126,689.6619561,681.3187895,687.6488647,20984698,,,,,,,0.001205114,,0.001205114,1.018250061
06/01/20,679.9767805,683.5108292,670.1349936,671.7007446,24519177,,,,,,,-0.023192244,,-0.023192244,0.994634557
07/01/20,679.5293206,686.4633347,677.068889,682.0345459,16683622,,,,,,,0.015384532,,0.015384532,1.009936544
08/01/20,677.739963,686.4409416,675.5032016,676.9123535,16047902,,,,,,,-0.007510166,,-0.007510166,1.002351753
09/01/20,688.2975665,693.3973663,685.0095251,692.5026855,14982742,,,,,,,0.023031537,,0.023031537,1.025437455
10/01/20,694.2472346,696.9537332,688.7671662,692.3460083,12478359,,,,,,,-0.000226248,,-0.000226248,1.025205452
13/01/20,691.1829188,697.2892636,688.208016,690.5789795,18282382,,,,,,,-0.002552234,,-0.002552234,1.022588888
14/01/20,688.9238121,693.3973352,680.8043754,684.1818848,15816535,,,,,,,-0.009263379,,-0.009263379,1.01311626
15/01/20,687.0672375,688.8789957,679.1938091,681.6989746,15817859,,,,,,,-0.003629021,,-0.003629021,1.00943964
16/01/20,684.0028644,690.4223472,683.5554644,687.9842529,12847975,,,,,,,0.00922002,,0.00922002,1.018746694
17/01/20,694.9630412,709.032283,694.8288391,707.2652588,29463471,,,,,,,0.028025359,,0.028025359,1.047297436
20/01/20,719.7910841,719.7910841,682.8397005,685.5014648,32545850,,,,,,,-0.030771756,,-0.030771756,1.015070255
21/01/20,683.8239219,691.5407512,680.8713564,686.1948853,18922720,,,,,,,0.001011552,,0.001011552,1.016097051
22/01/20,690.7131763,691.9433921,684.9423069,685.9488525,10322817,,,,,,,-0.000358546,,-0.000358546,1.015732733
23/01/20,687.3580618,689.7961564,680.2899049,683.0411377,11247739,,,,,,,-0.004238967,,-0.004238967,1.011427075
24/01/20,683.1082008,687.2909825,679.3280852,680.670166,14628445,,,,,,,-0.003471199,,-0.003471199,1.007916211
27/01/20,677.6953417,681.9675322,673.2664924,673.9598999,13387750,,,,,,,-0.009858323,,-0.009858323,0.997979847
28/01/20,674.8768456,675.5031818,654.7459935,658.3919067,24532236,,,,,,,-0.023099287,,-0.023099287,0.974927225
29/01/20,659.4208095,668.5244542,654.9472867,662.0155029,24746565,,,,,,,0.005503707,,0.005503707,0.980292938
30/01/20,661.635285,661.9484232,644.1885326,645.8660889,22402689,,,,,,,-0.024394314,,-0.024394314,0.956379365
31/01/20,650.0040117,650.1158766,629.5152871,631.5059814,34750310,,,,,,,-0.022233877,,-0.022233877,0.935115343
03/02/20,612.8290506,626.2720164,609.7646795,619.8077393,30712290,,,,,,,-0.018524357,,-0.018524357,0.917792933
04/02/20,626.2942887,640.8332668,625.31014,638.1044312,25383901,,,,,,,0.029519947,,0.029519947,0.944886132
05/02/20,641.9069587,649.9145901,639.8491931,647.9909668,18472100,,,,,,,0.015493601,,0.015493601,0.959525821
06/02/20,650.4961469,656.2669566,644.2332032,652.1513062,15538577,,,,,,,0.006420366,,0.006420366,0.965686328
